Date and time;S.1 Cap Volt;S.1 Val1;S.1 Val2;S.1 Val3;S.2 Cap Volt;S.2 Val1;S.2 Val2;S.2 Val3;S.3 Cap Volt;S.3 Val1;S.3 Val2;S.3 Val3;S.4 Cap Volt;S.4 Val1;S.4 Val2;S.4 Val3
02/06/2022 00:06:56;2650;0;0;0;2650;0;0;0;2675;0;0;0;2600;0;0;0
02/06/2022 00:13:03;2625;0;0;0;2650;0;0;0;2650;0;0;0;2575;0;0;0
02/06/2022 00:14:02;2625;0;0;0;2625;0;0;0;2625;0;0;0;2575;0;0;0
02/06/2022 00:15:01;2625;0;0;0;2625;0;0;0;2625;0;0;0;2575;0;0;0
02/06/2022 00:16:01;2625;0;0;0;2625;0;0;0;2625;0;0;0;2575;0;0;0
02/06/2022 00:17:00;2625;0;0;0;2625;0;0;0;2625;0;0;0;2550;0;0;0
02/06/2022 00:22:40;2625;0;0;0;2625;0;0;0;2625;0;0;0;2550;0;0;0
02/06/2022 00:23:40;2625;0;0;0;2625;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:24:39;2625;0;0;0;2625;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:25:39;2600;0;0;0;2625;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:26:38;2600;0;0;0;2600;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:27:37;2600;0;0;0;2600;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:28:37;2600;0;0;0;2600;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:29:36;2600;0;0;0;2600;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:30:36;2600;0;0;0;2600;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:31:35;2600;0;0;0;2600;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:32:35;2600;0;0;0;2600;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:33:34;2600;0;0;0;2600;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:34:34;2600;0;0;0;2600;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:35:33;2600;0;0;0;2600;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:36:33;2600;0;0;0;2600;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:37:32;2600;0;0;0;2600;0;0;0;2600;0;0;0;2525;0;0;0
02/06/2022 00:38:32;2600;0;0;0;2600;0;0;0;2600;0;0;0;2500;0;0;0
02/06/2022 00:39:31;2600;0;0;0;2600;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:40:30;2600;0;0;0;2600;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:41:30;2600;0;0;0;2600;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:42:29;2600;0;0;0;2600;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:43:29;2600;0;0;0;2600;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:44:28;2600;0;0;0;2575;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:45:28;2600;0;0;0;2575;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:46:27;2575;0;0;0;2575;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:47:27;2575;0;0;0;2575;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:48:26;2575;0;0;0;2575;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:49:25;2575;0;0;0;2575;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:50:25;2575;0;0;0;2575;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:51:24;2575;0;0;0;2575;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:52:24;2575;0;0;0;2575;0;0;0;2575;0;0;0;2500;0;0;0
02/06/2022 00:53:23;2575;0;0;0;2575;0;0;0;2575;0;0;0;2475;0;0;0
02/06/2022 00:54:23;2575;0;0;0;2575;0;0;0;2550;0;0;0;2475;0;0;0
02/06/2022 00:55:22;2575;0;0;0;2575;0;0;0;2550;0;0;0;2475;0;0;0
02/06/2022 00:56:22;2575;0;0;0;2575;0;0;0;2550;0;0;0;2475;0;0;0
02/06/2022 00:57:21;2575;0;0;0;2575;0;0;0;2550;0;0;0;2475;0;0;0
02/06/2022 00:58:21;2575;0;0;0;2575;0;0;0;2550;0;0;0;2475;0;0;0
02/06/2022 00:59:20;2575;0;0;0;2550;0;0;0;2550;0;0;0;2475;0;0;0
02/06/2022 01:00:19;2575;0;0;0;2550;0;0;0;2550;0;0;0;2475;0;0;0
02/06/2022 01:01:19;2575;0;0;0;2550;0;0;0;2550;0;0;0;2475;0;0;0
02/06/2022 01:02:18;2575;0;0;0;2550;0;0;0;2550;0;0;0;2475;0;0;0
02/06/2022 01:03:18;2550;0;0;0;2550;0;0;0;2550;0;0;0;2475;0;0;0
02/06/2022 01:04:17;2550;0;0;0;2550;0;0;0;2550;0;0;0;2475;0;0;0
