Date and time;S.1 Cap Volt;S.1 Val1;S.1 Val2;S.1 Val3;S.2 Cap Volt;S.2 Val1;S.2 Val2;S.2 Val3;S.3 Cap Volt;S.3 Val1;S.3 Val2;S.3 Val3;S.4 Cap Volt;S.4 Val1;S.4 Val2;S.4 Val3;S.5 Cap Volt;S.5 Val1;S.5 Val2;S.5 Val3;S.6 Cap Volt;S.6 Val1;S.6 Val2;S.6 Val3;S.7 Cap Volt;S.7 Val1;S.7 Val2;S.7 Val3;S.8 Cap Volt;S.8 Val1;S.8 Val2;S.8 Val3;S.9 Cap Volt;S.9 Val1;S.9 Val2;S.9 Val3;S.10 Cap Volt;S.10 Val1;S.10 Val2;S.10 Val3;S.11 Cap Volt;S.11 Val1;S.11 Val2;S.11 Val3;S.12 Cap Volt;S.12 Val1;S.12 Val2;S.12 Val3;S.13 Cap Volt;S.13 Val1;S.13 Val2;S.13 Val3;S.14 Cap Volt;S.14 Val1;S.14 Val2;S.14 Val3;S.15 Cap Volt;S.15 Val1;S.15 Val2;S.15 Val3;S.16 Cap Volt;S.16 Val1;S.16 Val2;S.16 Val3;S.17 Cap Volt;S.17 Val1;S.17 Val2;S.17 Val3;S.18 Cap Volt;S.18 Val1;S.18 Val2;S.18 Val3;S.19 Cap Volt;S.19 Val1;S.19 Val2;S.19 Val3;S.20 Cap Volt;S.20 Val1;S.20 Val2;S.20 Val3;S.21 Cap Volt;S.21 Val1;S.21 Val2;S.21 Val3;S.22 Cap Volt;S.22 Val1;S.22 Val2;S.22 Val3;S.23 Cap Volt;S.23 Val1;S.23 Val2;S.23 Val3;S.24 Cap Volt;S.24 Val1;S.24 Val2;S.24 Val3;S.25 Cap Volt;S.25 Val1;S.25 Val2;S.25 Val3;S.26 Cap Volt;S.26 Val1;S.26 Val2;S.26 Val3;S.27 Cap Volt;S.27 Val1;S.27 Val2;S.27 Val3;S.28 Cap Volt;S.28 Val1;S.28 Val2;S.28 Val3;S.29 Cap Volt;S.29 Val1;S.29 Val2;S.29 Val3;S.30 Cap Volt;S.30 Val1;S.30 Val2;S.30 Val3
09/06/2022 16:06:10;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:07:10;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:08:11;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1700;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1725;0;0;0;1575;0;0;0
09/06/2022 16:10:13;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:13:14;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:14:15;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1700;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:15:16;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:16:16;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1725;0;0;0;1575;0;0;0
09/06/2022 16:17:17;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1700;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:18:17;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1700;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:19:18;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1700;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:20:18;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:21:18;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:22:19;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:23:19;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:24:20;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1725;0;0;0;1575;0;0;0
09/06/2022 16:25:20;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1725;0;0;0;1575;0;0;0
09/06/2022 16:26:20;2250;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1700;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1725;0;0;0;1575;0;0;0
09/06/2022 16:27:21;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:28:21;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1725;0;0;0;1575;0;0;0
09/06/2022 16:29:21;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1725;0;0;0;1575;0;0;0
09/06/2022 16:30:22;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:31:22;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 16:32:23;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1725;0;0;0;1575;0;0;0
09/06/2022 16:33:23;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;1650;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;3000;0;0;0;2625;0;0;0;2700;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 18:07:00;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1575;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1725;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;1725;0;0;0;2625;0;0;0;2750;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1575;0;0;0
09/06/2022 18:59:45;2250;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;3000;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1700;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;1725;0;0;0;2625;0;0;0;2750;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1650;0;0;0
09/06/2022 19:00:46;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;3000;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1700;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;1725;0;0;0;2625;0;0;0;2750;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1650;0;0;0
09/06/2022 19:01:47;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;3000;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1700;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1700;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;1725;0;0;0;2625;0;0;0;2750;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1650;0;0;0
09/06/2022 19:02:47;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;3000;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1700;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;1725;0;0;0;2625;0;0;0;2750;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1650;0;0;0
09/06/2022 19:03:47;2225;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;3000;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1700;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;1725;0;0;0;2625;0;0;0;2750;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1650;0;0;0
09/06/2022 19:04:48;2250;0;0;0;2500;0;0;0;2725;0;0;0;2675;0;0;0;2350;0;0;0;2375;0;0;0;3000;0;0;0;2500;0;0;0;2275;0;0;0;3000;0;0;0;1675;0;0;0;1575;0;0;0;1575;0;0;0;1750;0;0;0;1725;0;0;0;1750;0;0;0;1550;0;0;0;1650;0;0;0;1700;0;0;0;1725;0;0;0;1650;0;0;0;2150;0;0;0;3000;0;0;0;1725;0;0;0;2625;0;0;0;2750;0;0;0;3000;0;0;0;1675;0;0;0;1700;0;0;0;1650;0;0;0
